orden,municipio,departamento
198,Chimichagua,Cesar
199,Chinácota,Norte De Santander
200,Chinavita,Boyacá
201,Chinchiná,Caldas
202,Chinú,Córdoba
203,Chipaque,Cundinamarca
204,Chipatá,Santander
205,Chiquinquirá,Boyacá
206,Chíquiza,Boyacá
207,Chiriguaná,Cesar
208,Chiscas,Boyacá
209,Chita,Boyacá
210,Chitagá,Norte De Santander
211,Chitaraque,Boyacá
212,Chivatá,Boyacá
213,Chivolo,Magdalena
214,Chivor,Boyacá
215,Choachí,Cundinamarca
216,Chocontá,Cundinamarca
217,Cicuco,Bolívar
218,Ciénaga,Magdalena
219,Ciénaga De Oro,Córdoba
220,Ciénega,Boyacá
221,Cimitarra,Santander
222,Circasia,Quindio
223,Cisneros,Antioquia
224,Ciudad Bolívar,Antioquia
225,Clemencia,Bolívar
226,Cocorná,Antioquia
227,Coello,Tolima
228,Cogua,Cundinamarca
229,Colombia,Huila
230,Colón,Nariño
231,Colón,Putumayo
232,Coloso,Sucre
233,Cómbita,Boyacá
234,Concepción,Antioquia
235,Concepción,Santander
236,Concordia,Antioquia
237,Concordia,Magdalena
238,Condoto,Chocó
239,Confines,Santander
240,Consacá,Nariño
241,Contadero,Nariño
242,Contratación,Santander
243,Convención,Norte De Santander
244,Copacabana,Antioquia
245,Coper,Boyacá
246,Córdoba,Bolívar
247,Córdoba,Nariño
248,Córdoba,Quindio
249,Corinto,Cauca
250,Coromoro,Santander
251,Corozal,Sucre
252,Corrales,Boyacá
253,Cota,Cundinamarca
254,Cotorra,Córdoba
255,Covarachía,Boyacá
256,Coveñas,Sucre
257,Coyaima,Tolima
258,Cravo Norte,Arauca
259,Cuaspúd,Nariño
260,Cubará,Boyacá
261,Cucaita,Boyacá
262,Cucunubá,Cundinamarca
263,Cúcuta,Norte De Santander
264,Cucutilla,Norte De Santander
265,Cuítiva,Boyacá
266,Cumaral,Meta
267,Cumaribo,Vichada
268,Cumbal,Nariño
269,Cumbitara,Nariño
270,Cunday,Tolima
271,Curillo,Caquetá
272,Curití,Santander
273,Curumaní,Cesar
274,Dabeiba,Antioquia
275,Dagua,Valle Del Cauca
276,Dibulla,La Guajira
277,Distracción,La Guajira
278,Dolores,Tolima
279,Donmatías,Antioquia
280,Dosquebradas,Risaralda
281,Duitama,Boyacá
282,Durania,Norte De Santander
283,Ebéjico,Antioquia
284,El Águila,Valle Del Cauca
285,El Bagre,Antioquia
286,El Banco,Magdalena
287,El Cairo,Valle Del Cauca
288,El Calvario,Meta
289,El Cantón Del San Pablo,Chocó
290,El Carmen,Norte De Santander
291,El Carmen De Atrato,Chocó
292,El Carmen De Bolívar,Bolívar
293,El Carmen De Chucurí,Santander
294,El Carmen De Viboral,Antioquia
295,El Castillo,Meta
296,El Cerrito,Valle Del Cauca
297,El Charco,Nariño
