orden,municipio,departamento
985,Tesalia,Huila
986,Tibacuy,Cundinamarca
987,Tibaná,Boyacá
988,Tibasosa,Boyacá
989,Tibirita,Cundinamarca
990,Tibú,Norte De Santander
991,Tierralta,Córdoba
992,Timaná,Huila
993,Timbío,Cauca
994,Timbiquí,Cauca
995,Tinjacá,Boyacá
996,Tipacoque,Boyacá
997,Tiquisio,Bolívar
998,Titiribí,Antioquia
999,Toca,Boyacá
1000,Tocaima,Cundinamarca
1001,Tocancipá,Cundinamarca
1002,Togüí,Boyacá
1003,Toledo,Antioquia
1004,Toledo,Norte De Santander
1005,Tolú Viejo,Sucre
1006,Tona,Santander
1007,Tópaga,Boyacá
1008,Topaipí,Cundinamarca
1009,Toribío,Cauca
1010,Toro,Valle Del Cauca
1011,Tota,Boyacá
1012,Totoró,Cauca
1013,Trinidad,Casanare
1014,Trujillo,Valle Del Cauca
1015,Tubará,Atlántico
1016,Tuchín,Córdoba
1017,Tuluá,Valle Del Cauca
1018,Tunja,Boyacá
1019,Tununguá,Boyacá
1020,Túquerres,Nariño
1021,Turbaco,Bolívar
1022,Turbaná,Bolívar
1023,Turbo,Antioquia
1024,Turmequé,Boyacá
1025,Tuta,Boyacá
1026,Tutazá,Boyacá
1027,Ubalá,Cundinamarca
1028,Ubaque,Cundinamarca
1029,Ulloa,Valle Del Cauca
1030,Úmbita,Boyacá
1031,Une,Cundinamarca
1032,Unguía,Chocó
1033,Unión Panamericana,Chocó
1034,Uramita,Antioquia
1035,Uribe,Meta
1036,Uribia,La Guajira
1037,Urrao,Antioquia
1038,Urumita,La Guajira
1039,Usiacurí,Atlántico
1040,Útica,Cundinamarca
1041,Valdivia,Antioquia
1042,Valencia,Córdoba
1043,Valle De San José,Santander
1044,Valle De San Juan,Tolima
1045,Valle Del Guamuez,Putumayo
1046,Valledupar,Cesar
1047,Valparaíso,Antioquia
1048,Valparaíso,Caquetá
1049,Vegachí,Antioquia
1050,Vélez,Santander
1051,Venadillo,Tolima
1052,Venecia,Antioquia
1053,Venecia,Cundinamarca
1054,Ventaquemada,Boyacá
1055,Vergara,Cundinamarca
1056,Versalles,Valle Del Cauca
1057,Vetas,Santander
1058,Vianí,Cundinamarca
1059,Victoria,Caldas
1060,Vigía Del Fuerte,Antioquia
1061,Vijes,Valle Del Cauca
1062,Villa Caro,Norte De Santander
1063,Villa De Leyva,Boyacá
1064,Villa De San Diego De Ubaté,Cundinamarca
1065,Villa Del Rosario,Norte De Santander
1066,Villa Rica,Cauca
1067,Villagarzón,Putumayo
1068,Villagómez,Cundinamarca
1069,Villahermosa,Tolima
1070,Villamaría,Caldas
1071,Villanueva,Bolívar
1072,Villanueva,La Guajira
1073,Villanueva,Santander
1074,Villanueva,Casanare
1075,Villapinzón,Cundinamarca
1076,Villarrica,Tolima
1077,Villavicencio,Meta
1078,Villavieja,Huila
1079,Villeta,Cundinamarca
1080,Viotá,Cundinamarca
1081,Viracachá,Boyacá
1082,Vistahermosa,Meta
1083,Viterbo,Caldas
1084,Yacopí,Cundinamarca
1085,Yacuanquer,Nariño
1086,Yaguará,Huila
1087,Yalí,Antioquia
1088,Yarumal,Antioquia
1089,Yolombó,Antioquia
1090,Yondó,Antioquia
1091,Yopal,Casanare
1092,Yotoco,Valle Del Cauca
1093,Yumbo,Valle Del Cauca
1094,Zambrano,Bolívar
1095,Zapatoca,Santander
1096,Zapayán,Magdalena
1097,Zaragoza,Antioquia
1098,Zarzal,Valle Del Cauca
1099,Zetaquira,Boyacá
1100,Zipacón,Cundinamarca
1101,Zipaquirá,Cundinamarca
1102,Zona Bananera,Magdalena
